Dinas Sosial Kabupaten Karawang, Kecamatan Karawang Barat, Kecamatan Rawamerta, Kecamatan Rengasdengklok, Kecamatan Kutawaluya, Kecamatan Batujaya, Kecamatan Pakisjaya, Kecamatan Tirtajaya, Kecamatan Pedes, Kecamatan Cilebar, Kecamatan Cilamaya Kulon, Kecamatan Cilamaya Wetan, Kecamatan Banyusari, Kecamatan Tirtamulya, Kecamatan Jatisari, Kecamatan Kotabaru, Kecamatan Cikampek, Kecamatan Purwasari, Kecamatan Klari, Kecamatan Ciampel, Kecamatan Tegalwaru, Kecamatan Pangkalan, Kecamatan Telukjambe Barat, Kecamatan Telukjambe Timur, Kecamatan Karawang Timur
0,100,1070,1930,2190,4160,5730,3280,3760,2550,3390,3600,3700,2720,3490,2470,2030,1700,1180,1070,3500,2260,1440,403,267
431,0,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807,844
0,0,1760,1232,86,0,0,0,0,1324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1232,0,526,1562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,860,526,0,0,0,0,955,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1562,0,0,1299,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1299,0,1873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,870,1873,0,1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,955,0,0,1410,0,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1324,0,890,0,0,0,693,0,1586,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1586,0,710,846,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,710,0,825,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,846,825,0,899,707,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,899,0,0,507,0,621,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,707,0,0,558,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,507,0,558,415,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,0,367,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,621,0,0,367,0,542,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,0,254,0,0,0,730,783
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,2013,1825,1336,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,0,519,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1825,519,0,1492,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1336,0,1492,0,663,0
403,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,0,0,0,663,0,259
267,844,0,0,0,0,0,0,0,2410,0,0,0,0,0,0,0,0,783,0,0,0,0,259,0